ULCS Code,SRC School ID,School Name (ULCS),Publication Name,Publication Name Alpha List,Abbreviated Name,Year Opened,School Level,Admission Type,Current Grade Span Served,Grade Span at Scale,Governance,Management Organization,School Reporting Category,Alternate Education Type,Major Intervention,Major Intervention Year,Community School Cohort,CTE Status,Title I Designation,Federal Accountability Designation,City Council District,GPS Location,Multiple Addresses,Street Address,City,State,Zip Code,Learning Network,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
1300,130,A.D. HARRINGTON SCHOOL,Avery D. Harrington School,"Harrington, Avery D. School",Harrington,1927,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Academic Improvement Plan,2019-2020,,,1,CSI,3,"39.94736517, -75.23059508",N/A,5300 BALTIMORE AVE,PHILADELPHIA,PA,19143,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1340,134,HENRY C. LEA SCHOOL,Henry C. Lea School,"Lea, Henry C. School",Lea,1914,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.954515, -75.216347",N/A,4700 LOCUST ST,PHILADELPHIA,PA,19139,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1350,135,WILLIAM C. LONGSTRETH SCHOOL,William C. Longstreth School,"Longstreth, William C. School",Longstreth,1971,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.94090823, -75.23237316",N/A,5700 WILLOWS AVE,PHILADELPHIA,PA,19143,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1360,136,MORTON MC MICHAEL SCHOOL,Morton McMichael School,"McMichael, Morton School",McMichael,1963,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2013-2014,,,1,Non-Designated,3,"39.96619727, -75.19411487",N/A,3543 FAIRMOUNT AVE,PHILADELPHIA,PA,19104,Network 3,1,1,1,1,1,1,1,1,1,0,0,0,0
1370,137,MITCHELL ELEMENTARY SCHOOL,S. Weir Mitchell School,"Mitchell, S. Weir School",Mitchell,1916,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2016-2017,,,1,Non-Designated,3,"39.93681427, -75.223291",N/A,5500 KINGSESSING AVE,PHILADELPHIA,PA,19143,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1380,138,THOMAS G. MORTON SCHOOL,Thomas G. Morton School,"Morton, Thomas G. School",Morton,1971,Elementary,Catchment,00-05,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.92346826, -75.22690015",N/A,2501 S 63RD ST,PHILADELPHIA,PA,19142,Network 1,1,1,1,1,1,1,0,0,0,0,0,0,0
1390,139,SAMUEL POWEL SCHOOL,Samuel Powel School,"Powel, Samuel School",Powel,1961,Elementary,Catchment,00-04,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.95796279797709, -75.19391769815562",N/A,3610 WARREN ST,PHILADELPHIA,PA,19104,Network 3,1,1,1,1,1,0,0,0,0,0,0,0,0
1400,140,JOHN M. PATTERSON SCHOOL,John M. Patterson School,"Patterson, John M. School",Patterson,1921,Elementary,Catchment,00-04,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.916095, -75.236762",N/A,7000 BUIST AVE,PHILADELPHIA,PA,19142,Network 1,1,1,1,1,1,0,0,0,0,0,0,0,0
1410,141,JAMES RHOADS SCHOOL,James Rhoads School,"Rhoads, James School",Rhoads,1960,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2018-2019,,,1,Non-Designated,3,"39.967339, -75.220063",N/A,4901 PARRISH ST,PHILADELPHIA,PA,19139,Network 3,1,1,1,1,1,1,1,1,1,0,0,0,0
1420,142,M. WASHINGTON ACADEMICS PLUS,Martha Washington School,"Washington, Martha School","Washington, Martha",1930,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.966206, -75.211179",N/A,766 N 44TH ST,PHILADELPHIA,PA,19104,Network 3,1,1,1,1,1,1,1,1,1,0,0,0,0
1440,144,PENROSE SCHOOL,Penrose School,Penrose School,Penrose,1971,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,A-TSI,2,"39.90692358, -75.24865833",N/A,2515 S 78TH ST,PHILADELPHIA,PA,19153,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1460,146,ADD B. ANDERSON SCHOOL,Add B. Anderson School,"Anderson, Add B. School","Anderson, Add",1963,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2020-2021,2022-2023,,1,A-TSI,3,"39.946726, -75.245717",N/A,1034 S 60TH ST,PHILADELPHIA,PA,19143,Network 1,1,1,1,1,1,1,1,1,1,0,0,0,0
1470,147,ALAIN LOCKE SCHOOL,Alain Locke School,"Locke, Alain School",Locke,1964,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Academic Improvement Plan,2019-2020,2017-2018,,1,Non-Designated,3,"39.96262376, -75.21245097",N/A,4550 HAVERFORD AVE,PHILADELPHIA,PA,19139,Network 3,1,1,1,1,1,1,1,1,1,0,0,0,0
1490,149,RUDOLPH BLANKENBURG SCHOOL,Rudolph Blankenburg School,"Blankenburg, Rudolph School",Blankenburg,1925,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2017-2018,,,1,Non-Designated,3,"39.97296312, -75.21388868",N/A,4600 W GIRARD AVE,PHILADELPHIA,PA,19131,Network 3,1,1,1,1,1,1,1,1,1,0,0,0,0
1580,158,MIDDLE YEARS ALTERNATIVE-MYA,Middle Years Alternative School,Middle Years Alternative School,MYA,1972,Middle,Citywide,05-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.96425379, -75.21546704",N/A,4725 FAIRMOUNT AVE,PHILADELPHIA,PA,19139,Network 3,0,0,0,0,0,1,1,1,1,0,0,0,0
2000,200,SOUTH PHILADELPHIA HIGH SCHOOL,South Philadelphia High School,South Philadelphia High School,South Philadelphia,1957,High,Catchment,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,2016-2017,Programs,1,CSI,1,"39.9238987, -75.1691065",N/A,2101 S BROAD ST,PHILADELPHIA,PA,19148,Network 12,0,0,0,0,0,0,0,0,0,1,1,1,1
2010,201,BENJAMIN FRANKLIN HIGH SCHOOL,Benjamin Franklin High School,"Franklin, Benjamin High School",Franklin High,1958,High,Catchment,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,1,CSI,5,"39.963530, -75.161640",N/A,550 N BROAD ST,PHILADELPHIA,PA,19130,Network 13,0,0,0,0,0,0,0,0,0,1,1,1,1
2020,202,CREATIVE AND PERFORMING ARTS,High School for Creative and Performing Arts,High School for Creative and Performing Arts,CAPA,1997,High,Criteria-Based,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,1,Non-Designated,2,"39.93941992, -75.16548375",N/A,901 S BROAD ST,PHILADELPHIA,PA,19147,Network 15,0,0,0,0,0,0,0,0,0,1,1,1,1
2050,205,SCIENCE LEADERSHIP ACADEMY MS,Science Leadership Academy Middle School,Science Leadership Academy Middle School,SLAMS,2016,Middle,Catchment,05-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,3,"39.95796279797709, -75.19391769815562",N/A,3610 WARREN ST,PHILADELPHIA,PA,19104,Network 3,0,0,0,0,0,1,1,1,1,0,0,0,0
2140,214,JULIA R. MASTERMAN HIGH SCHOOL,Julia R. Masterman High School,"Masterman, Julia R. High School",Masterman,1933,Middle-High,Criteria-Based,05-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,5,"39.96320031, -75.16620758",N/A,1699 SPRING GARDEN ST,PHILADELPHIA,PA,19130,Network 15,0,0,0,0,0,1,1,1,1,1,1,1,1
2160,216,HORACE FURNESS HIGH SCHOOL,Horace Furness High School,"Furness, Horace High School",Furness,1912,High,Catchment,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,CSI,1,"39.923762, -75.150585",N/A,1900 S 3RD ST,PHILADELPHIA,PA,19148,Network 12,0,0,0,0,0,0,0,0,0,1,1,1,1
2190,219,D. NEWLIN FELL SCHOOL,D. Newlin Fell School,"Fell, D. Newlin School",Fell,1924,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,1,"39.91558638, -75.16300858",N/A,900 W OREGON AVE,PHILADELPHIA,PA,19148,Network 2,1,1,1,1,1,1,1,1,1,0,0,0,0
2210,221,BACHE-MARTIN SCHOOL,Bache-Martin School,Bache-Martin School,Bache-Martin,1906,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,CSI,5,"39.96967782, -75.17384692",N/A,2201 BROWN ST,PHILADELPHIA,PA,19130,Network 4,1,1,1,1,1,1,1,1,1,0,0,0,0
2240,224,AMEDEE F. BREGY SCHOOL,F. Amedee Bregy School,"Bregy, F. Amedee School",Bregy,1923,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.914699, -75.176674",N/A,1700 BIGLER ST,PHILADELPHIA,PA,19145,Network 2,1,1,1,1,1,1,1,1,1,0,0,0,0
2260,226,GEORGE W CHILDS SCHOOL,George W. Childs School,"Childs, George W. School",Childs,1927,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.934637, -75.170493",N/A,1599 WHARTON ST,PHILADELPHIA,PA,19146,Network 2,1,1,1,1,1,1,1,1,1,0,0,0,0
2290,229,FRANKLIN LEARNING CENTER,Franklin Learning Center,Franklin Learning Center,FLC,1978,High,Criteria-Based,09-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,Programs,1,Non-Designated,5,"39.965049, -75.162753",N/A,616 N 15TH ST,PHILADELPHIA,PA,19130,Network 15,0,0,0,0,0,0,0,0,0,1,1,1,1
2310,231,Achieve Academy of Philadelphia,Achieve Academy of Philadelphia,Achieve Academy of Philadelphia,Achieve,2004,Middle-High,Alternative,06-12,N/A,Contracted,Camelot Education,Alternate Schools,AEDY,N/A,N/A,,,,,5,"39.978134, -75.177658",N/A,1435 N 26TH ST,PHILADELPHIA,PA,19121,Opportunity,0,0,0,0,0,0,1,1,1,1,1,1,1
2320,232,STEPHEN GIRARD SCHOOL,Stephen Girard School,"Girard, Stephen School",Girard,1959,Elementary,Catchment,00-05,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.925059, -75.176611",N/A,1800 SNYDER AVE,PHILADELPHIA,PA,19145,Network 2,1,1,1,1,1,1,0,0,0,0,0,0,0
2340,234,GEN. GEORGE A. MCCALL SCHOOL,General George A. McCall School,"McCall, General George A. School",McCall,1909,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,1,"39.944635, -75.153180",N/A,325 S 7TH ST,PHILADELPHIA,PA,19106,Network 4,1,1,1,1,1,1,1,1,1,0,0,0,0
2370,237,DELAPLAINE MCDANIEL SCHOOL,Delaplaine McDaniel School,"McDaniel, Delaplaine School",McDaniel,1937,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,Acceleration,2020-2021,,,1,Non-Designated,2,"39.929592, -75.181793",N/A,1801 S 22ND ST,PHILADELPHIA,PA,19145,Network 2,1,1,1,1,1,1,1,1,1,0,0,0,0
2380,238,WILLIAM M. MEREDITH SCHOOL,William M. Meredith School,"Meredith, William M. School",Meredith,1931,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,1,"39.93974936, -75.15113339",N/A,725 S 5TH ST,PHILADELPHIA,PA,19147,Network 2,1,1,1,1,1,1,1,1,1,0,0,0,0
2390,239,ROBERT MORRIS SCHOOL,Robert Morris School,"Morris, Robert School",Morris,1964,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,5,"39.975439, -75.178660",N/A,2600 W THOMPSON ST,PHILADELPHIA,PA,19121,Network 4,1,1,1,1,1,1,1,1,1,0,0,0,0
2410,241,GIRARD ACADEMIC MUSIC PROGRAM,Girard Academic Music Program High School,Girard Academic Music Program,GAMP,1914,Middle-High,Criteria-Based,05-12,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.92210463, -75.18256439",N/A,2136 W RITNER ST,PHILADELPHIA,PA,19145,Network 15,0,0,0,0,0,1,1,1,1,1,1,1,1
2450,245,EDWIN M. STANTON SCHOOL,Edwin M. Stanton School,"Stanton, Edwin M. School",Stanton,1926,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.940503, -75.171017",N/A,901 S. 17TH ST.,PHILADELPHIA,PA,19146,Network 4,1,1,1,1,1,1,1,1,1,0,0,0,0
2470,247,ALBERT M. GREENFIELD SCHOOL,Albert M. Greenfield School,"Greenfield, Albert M. School",Greenfield,1970,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.95227234, -75.17739206",N/A,2200 CHESTNUT ST,PHILADELPHIA,PA,19103,Network 4,1,1,1,1,1,1,1,1,1,0,0,0,0
2480,248,MARIAN ANDERSON NEIGHBORHOOD ACADEMY,Marian Anderson Neighborhood Academy,"Anderson, Marian Neighborhood Academy","Anderson, Marian",1964,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,2,"39.94190083, -75.17569882",N/A,2000 CATHARINE ST,PHILADELPHIA,PA,19146,Network 4,1,1,1,1,1,1,1,1,1,0,0,0,0
2490,249,LAURA W. WARING SCHOOL,Laura W. Waring School,"Waring, Laura W. School",Waring,1956,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,5,"39.96491939, -75.1677006",N/A,1801 GREEN ST,PHILADELPHIA,PA,19130,Network 4,1,1,1,1,1,1,1,1,1,0,0,0,0
2510,251,"COPPIN, FANNY JACKSON SCHOOL",Fanny Jackson Coppin School,"Jackson Coppin, Fanny School",Jackson Coppin,1925,Elementary-Middle,Catchment,00-08,N/A,District,Phila Board of Education,SDP K12 Schools,,N/A,N/A,,,1,Non-Designated,1,"39.934623, -75.163481",N/A,1213 S 12TH ST,PHILADELPHIA,PA,19147,Network 2,1,1,1,1,1,1,1,1,1,0,0,0,0
